DATE,AHEMAN,AHEMAN_PC1,FEDFUNDS,M08297USM548NNBR,PAYEMS,PERMIT,RECPROUSM156N,UEMPMEAN,UNRATE,USREC,Consumer_Expend,Gross_Dom_Income_PC1,Natural_Rate_Unemp,SP_Close,Unemp_Gap
1/1/1960,2.14,4.39024,3.99,386,54274,1092,NA,13.5,5.2,0,664.9726667,6.6165,5.456,55.610001,0.256
2/1/1960,2.14,4.39024,3.97,301,54513,1088,NA,13.1,4.8,0,670.1480765,5.639700541,5.458639645,56.119999,0.658639645
3/1/1960,2.14,3.38164,3.84,301,54454,955,NA,13,5.4,0,672.6475104,5.148877799,5.460847606,55.34,0.060847606
4/1/1960,2.14,2.88462,3.92,293,54813,1016,NA,12.6,5.2,0,673.3606667,4.95555,5.463,54.369999,0.263
5/1/1960,2.14,2.88462,3.85,264,54475,1052,NA,11.9,5.1,1,672.7080803,4.972093161,5.464955762,55.830002,0.364955762
6/1/1960,2.14,2.39234,3.32,272,54348,958,NA,11.9,5.4,1,671.4950269,5.049631511,5.466959667,56.919998,0.066959667
7/1/1960,2.14,2.39234,3.23,339,54306,999,NA,12.6,5.5,1,670.6693333,5.03449,5.469,55.509998,-0.031
8/1/1960,2.13,4.41176,2.98,306,54272,994,NA,12.2,5.6,1,670.7897141,4.796714001,5.471293934,56.959999,-0.128706066
9/1/1960,2.15,3.86473,2.6,274,54227,984,NA,12.9,5.5,1,671.3544786,4.306728517,5.473693645,53.52,-0.026306355
10/1/1960,2.15,4.36893,2.47,332,54142,972,NA,13.5,6.1,1,671.538,3.59114,5.476,53.389999,-0.624
11/1/1960,2.15,3.36538,2.44,396,53961,979,NA,13.9,6.1,1,670.9010465,2.647413763,5.478292687,55.540001,-0.621707313
12/1/1960,2.17,2.35849,1.98,494,53742,951,NA,12.4,6.6,1,670.397325,1.752898561,5.480526095,58.110001,-1.119473905
1/1/1961,2.17,1.40187,1.45,539,53683,969,NA,13.7,6.6,1,671.2883333,1.11811,5.483,61.779999,-1.117
2/1/1961,2.17,1.40187,2.54,478,53557,961,NA,13.6,6.9,1,674.4004208,0.972422362,5.485732091,63.439999,-1.414267909
3/1/1961,2.17,1.40187,2.02,370,53659,1000,NA,14.1,6.9,0,678.0380943,1.162559836,5.488286485,65.059998,-1.411713515
4/1/1961,2.18,1.86916,1.49,365,53627,1002,NA,15.5,7,0,681.2783333,1.54412,5.491,65.309998,-1.509
5/1/1961,2.2,2.80374,1.98,296,53786,1027,NA,15.6,7.1,0,682.5081316,1.943967151,5.49336967,66.559998,-1.60663033
6/1/1961,2.2,2.80374,1.73,278,53977,1070,NA,16.2,6.9,0,683.0337814,2.420781506,5.495686823,64.639999,-1.404313177
7/1/1961,2.2,2.80374,1.17,355,54123,1083,NA,17.3,7,0,684.5913333,3.01949,5.498,66.760002,-1.502
8/1/1961,2.18,2.34742,2,269,54298,1159,NA,17,6.6,0,688.5333598,3.822271029,5.500610232,68.07,-1.099389768
9/1/1961,2.2,2.32558,1.88,255,54388,1098,NA,16.1,6.7,0,693.7337715,4.70912167,5.503354967,66.730003,-1.196645033
10/1/1961,2.22,3.25581,2.26,275,54522,1123,NA,15.9,6.5,0,698.3613333,5.51592,5.506,68.620003,-0.994
11/1/1961,2.23,3.72093,2.61,318,54742,1152,NA,17,6.1,0,701.5286476,6.189752255,5.508630486,71.32,-0.591369514
12/1/1961,2.26,4.14747,2.33,393,54872,1161,NA,15.8,6,0,703.6036975,6.693717478,5.511185767,71.550003,-0.488814233
1/1/1962,2.27,4.60829,2.15,427,54891,1122,NA,15.3,5.8,0,705.759,7.0959,5.514,68.839996,-0.286
2/1/1962,2.26,4.14747,2.37,318,55188,1194,NA,16,5.5,0,708.6734827,7.399402026,5.517087086,69.959999,0.017087086
3/1/1962,2.26,4.14747,2.85,272,55275,1134,NA,15,5.6,0,711.5896041,7.563626502,5.519959655,69.550003,-0.080040345
4/1/1962,2.27,4.12844,2.78,265,55602,1235,NA,14.9,5.6,0,714.4353333,7.58342,5.523,65.239998,-0.077
5/1/1962,2.27,3.18182,2.36,248,55628,1142,NA,15.5,5.5,0,716.359549,7.416079231,5.52565326,59.630001,0.02565326
6/1/1962,2.27,3.18182,2.68,256,55644,1154,NA,15.1,5.5,0,718.0509392,7.090778487,5.528286928,54.75,0.028286928
7/1/1962,2.27,3.18182,2.71,316,55746,1189,NA,14.6,5.4,0,720.1933333,6.68352,5.531,58.23,0.131
8/1/1962,2.25,3.21101,2.93,259,55838,1200,NA,14.5,5.7,0,723.4649736,6.225950198,5.53417389,59.119999,-0.16582611
9/1/1962,2.27,3.18182,2.9,233,55978,1223,NA,14.1,5.6,0,727.1937021,5.796053043,5.537609144,56.27,-0.062390856
10/1/1962,2.28,2.7027,2.9,272,56041,1181,NA,14.1,5.4,0,730.3833333,5.46947,5.541,56.52,0.141
11/1/1962,2.3,3.13901,2.94,312,56056,1236,NA,13.3,5.7,0,732.6170778,5.26418454,5.544424355,62.259998,-0.155575645
12/1/1962,2.31,2.21239,2.93,420,56028,1236,NA,13.6,5.5,0,734.0913222,5.136673695,5.547669847,63.099998,0.047669847
1/1/1963,2.31,1.76211,2.92,444,56115,1248,NA,13.8,5.7,0,735.4996667,4.99504,5.551,66.199997,-0.149
2/1/1963,2.31,2.21239,3,322,56230,1212,NA,14.1,5.9,0,737.3098169,4.791483523,5.554355057,64.290001,-0.345644943
3/1/1963,2.32,2.65487,2.98,270,56320,1258,NA,14.5,5.7,0,739.4422165,4.618946204,5.557450774,66.57,-0.142549226
4/1/1963,2.33,2.64317,2.9,272,56580,1288,NA,14.5,5.7,0,742.44,4.5432,5.561,69.800003,-0.139
5/1/1963,2.33,2.64317,3,237,56616,1350,NA,14.5,5.9,0,745.9394387,4.655748631,5.564581982,70.800003,-0.335418018
6/1/1963,2.34,3.0837,2.99,238,56659,1345,NA,14,5.6,0,749.6017782,4.906356558,5.568361774,69.370003,-0.031638226
7/1/1963,2.34,3.0837,3.02,295,56794,1321,NA,14,5.6,0,752.512,5.19069,5.572,69.129997,-0.028
8/1/1963,2.31,2.66667,3.49,244,56910,1310,NA,13.9,5.4,0,754.4700359,5.454582672,5.575675698,72.5,0.175675698
9/1/1963,2.35,3.52423,3.48,221,57078,1413,NA,14.2,5.5,0,756.2107587,5.689058062,5.579345586,71.699997,0.079345586
10/1/1963,2.35,3.07018,3.5,251,57283,1414,NA,13.9,5.5,0,758.7823333,5.90611,5.583,74.010002,0.083
11/1/1963,2.37,3.04348,3.48,289,57255,1357,NA,13.3,5.7,0,763.1196047,6.134298736,5.586958505,73.230003,-0.113041495
12/1/1963,2.39,3.4632,3.38,412,57361,1423,NA,13.3,5.5,0,768.3060115,6.355008717,5.590903794,75.019997,0.090903794
1/1/1964,2.39,3.4632,3.48,410,57487,1296,NA,13.5,5.6,0,773.6746667,6.57447,5.595,77.040001,-0.005
2/1/1964,2.38,3.0303,3.48,289,57753,1442,NA,13.2,5.4,0,778.3277474,6.780741788,5.599047876,77.800003,0.199047876
3/1/1964,2.38,2.58621,3.43,258,57897,1313,NA,13.5,5.4,0,782.452383,6.9724775,5.602843951,78.980003,0.202843951
4/1/1964,2.4,3.00429,3.47,244,57922,1264,NA,12.4,5.3,0,787.3603333,7.19162,5.607,79.459999,0.307
5/1/1964,2.4,3.00429,3.5,216,58089,1299,NA,13.6,5.1,0,792.9582117,7.42109203,5.611180751,80.370003,0.511180751
6/1/1964,2.41,2.99145,3.5,215,58219,1280,NA,13.6,5.2,0,798.4315186,7.629986813,5.615629403,81.690002,0.415629403
7/1/1964,2.4,2.5641,3.42,273,58412,1304,NA,14.7,4.9,0,801.9043333,7.74831,5.62,83.18,0.72
8/1/1964,2.4,3.8961,3.5,205,58619,1306,NA,13,5,0,802.7262068,7.746642315,5.624514807,81.830002,0.624514807
9/1/1964,2.44,3.82979,3.45,190,58903,1265,NA,12.7,5.1,0,802.6518955,7.667318039,5.628928015,84.18,0.528928015
10/1/1964,2.39,1.70213,3.36,221,58793,1230,NA,12.6,5.1,0,804.1933333,7.58231,5.633,84.860001,0.533
11/1/1964,2.43,2.53165,3.52,274,59218,1254,NA,14,4.8,0,809.1662832,7.535937134,5.636964564,84.419998,0.836964564
12/1/1964,2.45,2.51046,3.85,345,59421,1164,NA,12.7,5,0,815.7748773,7.512334347,5.640782781,84.75,0.640782781
1/1/1965,2.46,2.92887,3.9,352,59582,1264,NA,12.2,4.9,0,822.1273333,7.47328,5.645,87.559998,0.745
2/1/1965,2.46,3.36134,3.98,266,59800,1185,NA,12.6,5.1,0,826.2548614,7.391596302,5.649684475,87.43,0.549684475
3/1/1965,2.48,4.20168,4.04,220,60003,1211,NA,12,4.7,0,828.6795625,7.289205571,5.654134059,86.160004,0.954134059
4/1/1965,2.47,2.91667,4.09,218,60259,1162,NA,11.4,4.8,0,831.1946667,7.16212,5.659,89.110001,0.859
5/1/1965,2.49,3.75,4.1,184,60491,1207,NA,11.1,4.6,0,834.5417074,7.056062493,5.663426201,88.419998,1.063426201
6/1/1965,2.49,3.3195,4.04,188,60690,1241,NA,11.6,4.6,0,839.341304,7.051807925,5.667797811,84.120003,1.067797811
7/1/1965,2.48,3.33333,4.09,243,60965,1237,NA,11.6,4.4,0,845.4766667,7.24734,5.672,85.25,1.272
8/1/1965,2.47,2.91667,4.12,208,61228,1249,NA,11.9,4.4,0,853.3219596,7.707310196,5.676432625,87.169998,1.276432625
9/1/1965,2.51,2.86885,4.01,169,61490,1227,NA,11.9,4.3,0,861.7243063,8.281706764,5.6808607,89.959999,1.3808607
10/1/1965,2.52,5.43933,4.08,185,61719,1279,NA,12.1,4.2,0,869.2453333,8.76014,5.685,92.419998,1.485
